グラフ中のタイトルをsに設定する	plt.title(s)
ファイルfilenameを読み込みできるようにオープンする]	open(filename, mode='r')
折れ線グラフの左三角マーカーを青くする	plt.plot(xdata, ydata, marker='<', markerfacecolor='b')
リストxdataとリストydataについて折れ線グラフを描画して、その色をゴーストホワイトに設定する	plt.plot(xdata, ydata, color='ghostwhite')
xが-9以上、9以下か調べる	-9 <= x <= 9
リストxdataとリストydataについての散布図に赤いバツマーカーを描画する	plt.plot(xdata, ydata, marker='x', c='r')
折れ線グラフの色をミッドナイトブルーに設定する	plt.plot(xdata, ydata, color='midnightblue')
リストxdataとリストydataの折れ線グラフに、緑色の三角マーカーを描画する	plt.plot(xdata, ydata, marker='^', markerfacecolor='g')
リストxdataとリストydataについての散布図をパールゴールデンロッド色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='palegoldenrod', alpha=0.5)
リストxdataとリストydataについての散布図をライトシアン色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='lightcyan', alpha=0.5)
sの中からパターンpatternにASCII限定としてマッチする文字列を探す	re.search(pattern, s, flags=re.ASCI)
現在の時間数	datetime.date.today().hour
リストxdataとリストydataについて散布図を描画して、マーカーの色をパールゴールデンロッドに設定する	plt.plot(xdata, ydata, c='palegoldenrod')
リストiterableをダミー変数に変換する	pd.get_dummies(iterable)
リストxdataとリストydataについて散布図を描画して、マーカーの色をベージュに設定する	plt.plot(xdata, ydata, c='beige')
TSVファイルfilenameを読み込む	pd.read_csv(filename, sep='\t')
散布図にダークゴールデンロッド色のマーカーを使う	plt.plot(xdata, ydata, c='darkgoldenrod')
スチールブルー色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='steelblue')
破線グラフの色をフォレストグリーンに設定する	plt.plot(xdata, ydata, linestyle='dash', color='forestgreen')
sをエンコーディングnameでバイト列に変換する	s.encode(encoding=name)
リストxdataとリストydataについて破線グラフを描画して、その色をスラグレーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='slategrey')
リストxdataとリストydataについてシャルトルーズ色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='chartreuse')
文字列elementがリストalistの要素でないか調べる	element not in alist
黄色色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='yellow')
リストxdataとリストydataについて散布図を描画して、マーカーの色をディムグレーに設定する	plt.plot(xdata, ydata, c='dimgrey')
イエローグリーン色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='yellowgreen')
リストxdataとリストydataについてゴールド色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='gold')
セットaset∪セットaset2	aset.union(aset2)
ゴールデンロッド色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='goldenrod')
リストxdataとリストydataについての散布図をリネン色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='linen', alpha=0.5)
破線グラフの色をタンに設定する	plt.plot(xdata, ydata, linestyle='dash', color='tan')
折れ線グラフの右三角マーカーの線幅をnに設定する	plt.plot(xdata, ydata, marker='>', markeredgewidth=n)
折れ線グラフのバツマーカーの大きさをnに設定する	plt.plot(xdata, ydata, marker='x', markersize=n)
リストxdataとリストydataについて破線グラフを描画して、その色をミディアムオーキッドに設定する	plt.plot(xdata, ydata, linestyle='dash', color='mediumorchid')
xの正弦	math.sin(x)
折れ線グラフの色をミディアムブルーに設定する	plt.plot(xdata, ydata, color='mediumblue')
関数predicatefuncが真となるリストiterableの要素	itertools.dropwhile(predicatefunc, iterable)
日時dtをn秒前に戻す	dt - datetime.timedelta(seconds=n)
折れ線グラフの色をプラムに設定する	plt.plot(xdata, ydata, color='plum')
リストxdataとリストydataについてダークマゼンタ色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='darkmagenta')
折れ線グラフの色をカラーコードrgbに設定する	plt.plot(xdata, ydata, color=rgb)
sをバイト列に変換する	bytes(s)
サーモン色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='salmon')
散布図にミディアムバイオレットレッド色のマーカーを使う	plt.plot(xdata, ydata, c='mediumvioletred')
ローングリーン色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='lawngreen')
リストxdataとリストydataについての散布図をパープル色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='purple', alpha=0.5)
リストxdataとリストydataについての散布図をライトスチールブルー色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='lightsteelblue', alpha=0.5)
データフレームdfのリストalistカラムを10の位で丸めて、整数型にする	df[alist].round(-1).astype(int)
sがリストalist内のいづれか調べる	s in alist
リストxdataとリストydataについて散布図を描画して、マーカーの色をコーラルに設定する	plt.plot(xdata, ydata, c='coral')
ダークカーキ色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='darkkhaki', alpha=0.5)
リストxdataとリストydataの折れ線グラフを描画して、マーカーを大バツに設定する	plt.plot(xdata, ydata, marker='X')
リストxdataとリストydataについてオールドレース色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='oldlace')
ミディアムパープル色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='mediumpurple')
リストxdataとリストydataについて散布図を描画して、ポイントマーカーの色をカラーコードrgbに設定する	plt.plot(xdata, ydata, marker='.', c=rgb)
リストxdataとリストydataについて破線グラフを描画して、その色をライトコーラルに設定する	plt.plot(xdata, ydata, linestyle='dash', color='lightcoral')
リストxdataとリストydataの折れ線グラフに、緑色の丸マーカーを描画する	plt.plot(xdata, ydata, marker='o', markerfacecolor='g')
コーラル色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='coral')
リストxdataとリストydataについての散布図をコーラル色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='coral', alpha=0.5)
n年n2月n3日n4時n5分n6秒を日時に変換する	datetime.datetime(year=n, month=n2, day=n3, hour=n4, minite=n5, second=n6)
リストxdataをインディアンレッド色のヒストグラムで描画する	plt.hist(xdata, color='indianred')
日付adateをn日前に戻す	adate - datetime.timedelta(days=n)
データフレームdfのカラムcolとカラムcol2毎の平均値	df.groupby([col, col2], as_index=False).mean()
イエローグリーン色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='yellowgreen', alpha=0.5)
折れ線グラフの色をマゼンタに設定する	plt.plot(xdata, ydata, color='magenta')
データフレームdfを1000の位で丸めて、整数型にする	df.round(-3).astype(int)
日時dtが何月か知る	dt.month
グリーンイエロー色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='greenyellow')
データフレームdfのリストalistカラムがどの程度、分散しているか見る	df[alist].var()
リストxdataとリストydataについての散布図をコーンフラワーブルー色で描画する	plt.plot(xdata, ydata, c='cornflowerblue')
リストxdataとリストydataについてスプリンググリーン色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='springgreen')
リストxdataを縦軸、リストydataを横軸と指定して、折れ線グラフを描画する	plt.plot(xdata, ydata)
スチールブルー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='steelblue')
リストxdataとリストydataについての散布図をオリーブ色で描画する	plt.plot(xdata, ydata, c='olive')
折れ線グラフの色を黒くする	plt.plot(xdata, ydata, color='k')
散布図に三角マーカーを使う	plt.plot(xdata, ydata, marker='^')
イエローグリーン色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='yellowgreen')
日時dtの月数	dt.month
リストxdataとリストydataについて散布図を描画して、マーカーの色をミディアムバイオレットレッドに設定する	plt.plot(xdata, ydata, c='mediumvioletred')
リストxdataとリストydataについての散布図をミディアムブルー色で描画する	plt.plot(xdata, ydata, c='mediumblue')
リストxdataとリストydataについての散布図をビスク色で描画する	plt.plot(xdata, ydata, c='bisque')
セットasetがセットaset2の上位集合か調べる	aset.issuperset(aset2)
xとx2をそれぞれnとn2に設定する	x, x2 = n, n2
データフレームdfのリストalistカラムの尖度	df[alist].skew()
ブラウン色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='brown')
xを十六進文字列に変換する	x.hex()
リストxdataとリストydataの折れ線グラフに、大きさnの星マーカーを描画する	plt.plot(xdata, ydata, marker='*', markersize=n)
文字列TSVファイルfilenameからCSVファイルをn番目のカラムをインデックスとして読み込む	pd.read_csv(filename, index_col=n)
リストxdataとリストydataについて破線グラフを描画して、その色をアザミに設定する	plt.plot(xdata, ydata, linestyle='dash', color='thistle')
アザミ色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='thistle')
リストxdataとリストydataについて散布図を描画して、マーカーの色をアイボリーに設定する	plt.plot(xdata, ydata, c='ivory')
xを浮動小数点数型に変換する	float(x)
データ列dsの中央値	ds.median()
オプションで、エンコーディングをsの示すエンコーディングに設定する	encoding = s
ダークサーモン色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='darksalmon', alpha=0.5)
リストxdataとリストydataの青い折れ線グラフを描画する	plt.plot(xdata, ydata, color='b')
リストxdataとリストydataについての散布図をレモンシフォン色で描画する	plt.plot(xdata, ydata, c='lemonchiffon')
データ列を使う	import pandas as pd
最大長をnにしてリストiterableから両端キューを作る	collections.deque(iterable, maxlen=n)
パレットトルコイズ色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='paleturquoise')
オプションで、標準エラーを出力にする	file = sys.stderr
sの先頭だけ英大文字化する	s.capitalize()
日時dtが何年か知る	dt.year
データフレームdfの行と列を入れ替える	df.T
整数nをバイト列に変換する	n.to_bytes((n.bit_length() + 7) // 8, byteorder='big')
デックdeqのn番目に文字列elementを挿入する	deq.insert(n, element)
オレンジレッド色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='orangered')
リストxdataとリストydataについての散布図に黒いダイアモンドマーカーを描画する	plt.plot(xdata, ydata, marker='D', c='k')
xの双曲線正弦の逆数	math.asinh(x)
実線グラフの色を赤にする	plt.plot(xdata, ydata, linestyle='solid', color=rgb)
リストxdataとリストydataについて破線グラフを描画して、その色をアクアマリンに設定する	plt.plot(xdata, ydata, linestyle='dash', color='aquamarine')
xを切り上げる	math.ceil(x)
散布図に赤い三角マーカーを使う	plt.plot(xdata, ydata, marker='^', c='r')
四角マーカーで散布図を描画する	plt.plot(xdata, ydata, marker='s')
アンティークホワイト色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='antiquewhite', alpha=0.5)
ディムグレー色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='dimgrey', alpha=0.5)
リストxdataとリストydataの折れ線グラフに、赤い左三角マーカーを描画する	plt.plot(xdata, ydata, marker='<', markerfacecolor='r')
リストxdataとリストydataについての散布図をサドルブラウン色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='saddlebrown', alpha=0.5)
フクシア色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='fuchsia', alpha=0.5)
空の辞書	{}
データフレームdfのリストalistカラムの第一四分位数	df[alist].quantile(0.25)
オプションで、SJISを使う	encoding = 'shift_jis'
オプションで、エンコーディングをBOM付きに設定する	encoding = 'utf_8_sig'
文字列elementの無限イテラブル	itertools.repeat(element)
データフレームdfのカラムcolを配列に変換する	df[col].values
データフレームdfのリストalistカラムの分散	df[alist].var()
散布図にダークバイオレット色のマーカーを使う	plt.plot(xdata, ydata, c='darkviolet')
データフレームdfの欠損値を直前の値に設定する	df.fillna(method='ffill')
折れ線グラフの色をグリーンイエローに設定する	plt.plot(xdata, ydata, color='greenyellow')
リストxdataとリストydataの折れ線グラフを描画して、色を黒くする	plt.plot(xdata, ydata, color='k')
リストxdataとリストydataの折れ線グラフに、緑色のダイアモンドマーカーを描画する	plt.plot(xdata, ydata, marker='D', markerfacecolor='g')
カラーコードrgbの星マーカーで散布図を描画する	plt.plot(xdata, ydata, marker='*', c=rgb)
リストxdataとリストydataについて折れ線グラフを描画して、その色をミスティローズに設定する	plt.plot(xdata, ydata, color='mistyrose')
折れ線グラフに星マーカーを使う	plt.plot(xdata, ydata, marker='*')
デックdeqの最大長	deq.maxlen
リストalistの要素を逆順にする	alist[::-1]
nとn2の値を足してnに代入する	n += n2
TSVファイルfilenameからCSVファイルをSJISで読み込む	pd.read_csv(filename, encoding='shift_jis')
折れ線グラフの下三角マーカーの線幅をnに設定する	plt.plot(xdata, ydata, marker='v', markeredgewidth=n)
sの小文字を英大文字に変換する	s.upper()
リストalistにリストalist2を追加する	alist.extend(alist2)
リストxdataとリストydataの黒い一点鎖線グラフを描画する	plt.plot(xdata, ydata, linestyle='dashbot', color='k')
リストxdataとリストydataの折れ線グラフに、赤い丸マーカーを描画する	plt.plot(xdata, ydata, marker='o', markerfacecolor='r')
破線グラフの色を黄色に設定する	plt.plot(xdata, ydata, linestyle='dash', color='yellow')
データフレームdfの重複を見る	df.duplicated()
リストiterableの各要素に対して、関数predicatefuncが真であれば、その要素を出力する	itertools.takewhile(predicatefunc, iterable)
リストxdataとリストydataの折れ線グラフに右三角マーカーを描画する	plt.plot(xdata, ydata, marker='>')
乱数シードをnで初期化する	random.seed(n)
リストxdataとリストydataについての散布図をピーチパフ色で描画する	plt.plot(xdata, ydata, c='peachpuff')
リストxdataとリストydataについてライトイエロー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='lightyellow')
整数nの桁数	len(str(int(n)))
リストxdataとリストydataについて散布図を描画して、マーカーを左三角に設定する	plt.plot(xdata, ydata, marker='<')
オブジェクトobjは数値か調べる	isinstance(obj, (int,float))
リストxdataとリストydataについて折れ線グラフを描画して、その色をオレンジに設定する	plt.plot(xdata, ydata, color='orange')
散布図にビスク色のマーカーを使う	plt.plot(xdata, ydata, c='bisque')
リストxdataとリストydataの折れ線グラフに、黄色い右三角マーカーを描画する	plt.plot(xdata, ydata, marker='>', markerfacecolor='y')
データフレームdfの先頭	df.head()
折れ線グラフのマーカーを大バツに設定する	plt.plot(xdata, ydata, marker='X')
データフレームdfのカラムcolの値を正規表現patternでまとめてsに置き換える	df[col].replace(pattern, s, regex=True)
ディムグレー色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='dimgray')
折れ線グラフの色をオレンジレッドに設定する	plt.plot(xdata, ydata, color='orangered')
破線グラフの色をライムに設定する	plt.plot(xdata, ydata, linestyle='dash', color='lime')
リストxdataをシルバー色のヒストグラムで描画する	plt.hist(xdata, color='silver')
折れ線グラフの色をミディアムアクアマリンに設定する	plt.plot(xdata, ydata, color='mediumaquamarine')
f全体を文字列として読み込む	f.read()
xの小数点以下'4'桁までを表示する	print(':.4f'.format(x))
日時dtが土曜日か調べる	dt.weekday() == 5
__X__カラーパレットをグラフに使う	sns.set(pallete='pastel')
整数nをバイト列に変換する	n.to_bytes(length=n2, byteorder='big')
グリーンイエロー色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='greenyellow')
リストxdataとリストydataについて破線グラフを描画して、その色をダークバイオレットに設定する	plt.plot(xdata, ydata, linestyle='dash', color='darkviolet')
リストxdataとリストydataについてライトスカイブルー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='lightskyblue')
nが一桁の数か調べる	-9 <= n <= 9
データフレームdfの中央値	df.median()
リストxdataとリストydataについての散布図をアンティークホワイト色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='antiquewhite', alpha=0.5)
リストiterableからn個、サンプリングする	random.sample(iterable, k=n)
ゴールデンロッド色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='goldenrod')
日付adateをISO形式の文字列に変換する	adate.isoformat()
リストxdataとリストydataについて折れ線グラフを描画して、その色をカデットブルーに設定する	plt.plot(xdata, ydata, color='cadetblue')
リストalistの先頭を取り除く	alist[1:]
リストxdataとリストydataについて破線グラフを描画して、その色をライトスカイブルーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='lightskyblue')
実線グラフの色を赤にする	plt.plot(xdata, ydata, linestyle='solid', color='r')
ダークレッド色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='darkred')
データフレームdfをカラムcolとカラムcol2の組み合わせ毎にグループ化して、平均値	df.groupby([col, col2], as_index=False).mean()
グレー色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='gray', alpha=0.5)
リストxdataをライトグリーン色のヒストグラムで描画する	plt.hist(xdata, color='lightgreen')
カウンタaCounter∩カウンタaCounter2	aCounter & aCounter2
リストalistのn番目に文字列elementを挿入する	alist.insert(n, element)
xを整数型に変換する	int(x)
リストxdataとリストydataについての散布図をダークグレー色で描画する	plt.plot(xdata, ydata, c='darkgray')
ダークカーキ色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='darkkhaki')
データ列ds中に文字列valueと文字列value2がいくつあるか数える	ds.isin([value, value2]).sum()
sのn番目とn2番目の間にs2が含まれないか調べる	s.find(s2, start=n, end=n2) == -1
オブジェクトobjのオブジェクト識別子	id(obj)
リストxdataとリストydataについての散布図をブルーバイオレット色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='blueviolet', alpha=0.5)
リストalistの各要素を関数funcに適用した結果でソートする	sorted(alist, key=func)
折れ線グラフの丸マーカーを黄色くする	plt.plot(xdata, ydata, marker='o', markerfacecolor='y')
ミディアムアクアマリン色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='mediumaquamarine', alpha=0.5)
JSONLファイルfilenameを読み込む	pd.read_json(filename, orient='records', lines=True)
ダーク・スラテグレー色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='darkslategrey')
ダークカーキ色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='darkkhaki')
散布図にピーチパフ色のマーカーを使う	plt.plot(xdata, ydata, c='peachpuff')
折れ線グラフのバツマーカーを黄色くする	plt.plot(xdata, ydata, marker='x', markerfacecolor='y')
sを長さnで右寄せにする	s.rjust(n)
リストxdataとリストydataの折れ線グラフに、青い星マーカーを描画する	plt.plot(xdata, ydata, marker='*', markerfacecolor='b')
リストxdataとリストydataのカラーコードrgbの破線グラフを描画する	plt.plot(xdata, ydata, linestyle='dashed', color=rgb)
グラフにy=0の点線を付ける	plt.axhline(y=0, linestyle='dotted')
文字列elementが辞書adictの値に含まれていないか調べる	element not in adict.values()
リストxdataとリストydataについての散布図に三角マーカーを描画する	plt.plot(xdata, ydata, marker='^')
xの小数点以下'5'桁までの文字列に変換する	':.5f'.format(x)
リストxdataとリストydataについての散布図をミディアムバイオレットレッド色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='mediumvioletred', alpha=0.5)
散布図にミディアムスプリンググリーン色のマーカーを使う	plt.plot(xdata, ydata, c='mediumspringgreen')
データフレームdfのリストalistカラム中にある文字列valueの合計を数える	df[alist].isin([value]).sum()
データフレームdfのリストalistカラムの平均値	df[alist].mean()
リストxdataをブラック色のヒストグラムで描画する	plt.hist(xdata, color='black')
リストxdataとリストydataについて折れ線グラフを描画して、その色をパウダーブルーに設定する	plt.plot(xdata, ydata, color='powderblue')
sの両端から改行を取り除く	s.strip('\n')
本日の日時	datetime.datetime.now()
リストalistを表示する	print(alist)
グラフにグリッド線を入れる	plt.grid(True)
散布図にハリウッド色のマーカーを使う	plt.plot(xdata, ydata, c='burlywood')
nが1、もしくは2、もしくは3に等しいか調べる	n == 1 or n == 2 or n == 3
n〜n2の範囲の整数乱数を生成する	random.randint(n, n2)
s中にs2が含まれるか調べる	s2 in s
sを黒色で表示する	print(f'\033[30m{s}\033[0m')
数式として、eを積分する	sympy.integrate(e)
リストxdataとリストydataの折れ線グラフに、黒い四角マーカーを描画する	plt.plot(xdata, ydata, marker='s', markerfacecolor='k')
日時dtをn月前に戻す	dt - datetime.timedelta(months=n)
ミディアムスプリンググリーン色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='mediumspringgreen', alpha=0.5)
デピンク色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='deeppink')
スピアマン相関係数でデータフレームdfの相関行列	df.corr(method='spearman')
耐火レンガ色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='firebrick')
ミスティローズ色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='mistyrose', alpha=0.5)
データ列dsが何年か見る	ds.dt.year
アクア色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='aqua')
リストxdataとリストydataについての散布図をディムグレー色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='dimgrey', alpha=0.5)
リストxdataとリストydataの折れ線グラフに、青い四角マーカーを描画する	plt.plot(xdata, ydata, marker='s', markerfacecolor='b')
nにn2をかけた値をnに代入する	n *= n2
データ列dsをビン数nでビン分割する	pd.cut(ds, n)
データ列dsの各データが何回出現するか見る	ds.value_counts()
プログラムのファイル名を知る	sys.argv[0]
ライトグリーン色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='lightgreen')
ビン数nのヒストグラムをリストxdataについて描画する	plt.hist(xdata, bins=n)
リストxdataとリストydataについて破線グラフを描画して、その色をダークターコイズに設定する	plt.plot(xdata, ydata, linestyle='dash', color='darkturquoise')
リストxdataとリストydataについて散布図を描画して、マーカーの色をダークマゼンタに設定する	plt.plot(xdata, ydata, c='darkmagenta')
リストxdataをプラム色のヒストグラムで描画する	plt.hist(xdata, color='plum')
リストxdataとリストydataについてモカシン色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='moccasin')
sをs2で二分し、前半の文字列を使う	s.partition(s2)[0]
リストxdataをスチールブルー色のヒストグラムで描画する	plt.hist(xdata, color='steelblue')
破線グラフの色を小麦に設定する	plt.plot(xdata, ydata, linestyle='dash', color='wheat')
ライトスレイグレー色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='lightslategray')
リストxdataとリストydataについての散布図をゴールド色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='gold', alpha=0.5)
ライトサーモン色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='lightsalmon', alpha=0.5)
アイボリー色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='ivory')
リストalistの文字列elementが最初に見つかるインデックス	alist.index(element)
パープル色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='purple')
リストxdataとリストydataについて折れ線グラフを描画して、その色をダークブルーに設定する	plt.plot(xdata, ydata, color='darkblue')
改行なしにリストiterableを表示する	print(iterable, end='')
表データを使う	import pandas as pd
日時dtをISO形式の文字列に変換する	dt.isoformat()
オブジェクトobjはリストかタプルか調べる	isinstance(obj, (list)
リストxdataとリストydataについてダークグリーン色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='darkgreen')
リストalistを引数として展開して表示する	print(*alist)
リストxdataとリストydataについての散布図をパールバイオレットレッド色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='palevioletred', alpha=0.5)
リストxdataとリストydataについての散布図をミディアムスプリンググリーン色で描画する	plt.plot(xdata, ydata, c='mediumspringgreen')
折れ線グラフの色をディープスカイブルーに設定する	plt.plot(xdata, ydata, color='deepskyblue')
ティール色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='teal')
リストxdataをコーンフラワーブルー色のヒストグラムで描画する	plt.hist(xdata, color='cornflowerblue')
nがn2以下、または、n3以上か調べる	n <= n2 or n >= n3
データフレームdfのカラムcolの欠損値を中央値に設定する	df[col].fillna(df[col].median())
データフレームdf中にある文字列valueと文字列value2の合計を数える	df.isin([value, value2]).sum()
リストalistとリストalist2の積集合	list(set(alist) & set(alist2))
ミディアムシアグリーン色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='mediumseagreen')
ライトゴールドロディイエロー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='lightgoldenrodyellow')
黒いダイアモンドマーカーで散布図を描画する	plt.plot(xdata, ydata, marker='D', c='k')
オプションで、バッファリングを無効にする	buffering = 0
リストalistの末尾を取り除く	alist[:-1]
ダークバイオレット色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='darkviolet', alpha=0.5)
折れ線グラフの色をスラグレーに設定する	plt.plot(xdata, ydata, color='slategray')
リストxdataとリストydataの青い一点鎖線グラフを描画する	plt.plot(xdata, ydata, linestyle='dashbot', color='b')
破線グラフの色をホワイトに設定する	plt.plot(xdata, ydata, linestyle='dash', color='white')
トマト色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='tomato')
アクアマリン色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='aquamarine')
オプションで、標準出力を使う	file = sys.stdout
sの接尾辞からs2を取り除く	s.removesuffix(s2)
ライトゴールドロディイエロー色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='lightgoldenrodyellow', alpha=0.5)
散布図にフローラルホワイト色のマーカーを使う	plt.plot(xdata, ydata, c='floralwhite')
リストxdataとリストydataの線幅nの折れ線グラフを描画する	plt.plot(xdata, ydata, linewidth=n)
リストxdataとリストydataについてトマト色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='tomato')
リストxdataとリストydataについて散布図を描画して、マーカーの色をペールグリーンに設定する	plt.plot(xdata, ydata, c='palegreen')
数式として、方程e=0のzの解を求める	sympy.solve(e, z)
リストxdataとリストydataについてディムグレー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='dimgray')
散布図に赤いバツマーカーを使う	plt.plot(xdata, ydata, marker='x', c='r')
n個の数値イテラブル	range(n)
破線グラフの色をダークブルーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='darkblue')
破線グラフの色をシーグリーンに設定する	plt.plot(xdata, ydata, linestyle='dash', color='seagreen')
リストxdataとリストydataについての散布図を黄色色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='yellow', alpha=0.5)
ミディアムブルー色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='mediumblue', alpha=0.5)
破線グラフの色をアイボリーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='ivory')
データ列dsの欠損値を中央値で埋める	ds.fillna(ds.median())
ゴールド色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='gold')
sを長さnでセンタリングにする	s.center(n)
リストxdataとリストydataの折れ線グラフを描画して、マーカーを下三角に設定する	plt.plot(xdata, ydata, marker='v')
リストalistを複製する	alist.copy()
散布図に耐火レンガ色のマーカーを使う	plt.plot(xdata, ydata, c='firebrick')
nからn2までのスライス	slice(n, n2)
青い破線グラフを描画する	plt.plot(xdata, ydata, linestyle='dashed', color='b')
リストxdataとリストydataについての散布図をディムグレー色で描画する	plt.plot(xdata, ydata, c='dimgray')
データフレームdfをカラムcol毎にグループ化して、カラムcol2の要約統計量を求める	df.groupby(col).describe()[col2]
ダークスレートブルー色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='darkslateblue')
リストxdataとリストydataについて折れ線グラフを描画して、その色をダークゴールデンロッドに設定する	plt.plot(xdata, ydata, color='darkgoldenrod')
ユーザから入力される	int(input())
実線グラフの線幅をnに設定する	plt.plot(xdata, ydata, linestyle='solid', linewidth=n)
データフレームdf中に文字列valueと文字列value2があるか調べる	df.isin([value, value2])
xの自然対数	math.log(x)
データフレームdfのリストalistカラムの欠損値を平均値で埋める	df[alist].fillna(df[alist].mean())
グレー色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='grey')
